,WPSNR,NWPSNR
102.jpg,34.157,0.3
103.jpg,30.741,0.166
104.jpg,30.256,0.147
105.jpg,28.714,0.086
106.jpg,28.751,0.088
107.jpg,28.407,0.074
108.jpg,28.688,0.085
109.jpg,26.847,0.013
110.jpg,26.856,0.013
111.jpg,26.81,0.012
112.jpg,26.593,0.003
113.jpg,26.654,0.005
114.jpg,26.517,0.0
115.jpg,27.964,0.057
116.jpg,28.284,0.069
117.jpg,29.001,0.098
118.jpg,28.534,0.079
119.jpg,30.052,0.139
120.jpg,28.764,0.088
121.jpg,32.591,0.239
122.jpg,38.495,0.471
123.jpg,39.255,0.5
124.jpg,32.084,0.219
125.jpg,29.625,0.122
126.jpg,30.378,0.152
127.jpg,29.737,0.127
128.jpg,29.297,0.109
129.jpg,28.014,0.059
130.jpg,28.933,0.095
131.jpg,27.8,0.05
132.jpg,29.132,0.103
133.jpg,28.62,0.083
134.jpg,29.626,0.122
135.jpg,33.159,0.261
136.jpg,31.046,0.178
137.jpg,30.344,0.15
138.jpg,30.432,0.154
139.jpg,29.163,0.104
140.jpg,28.554,0.08
141.jpg,29.346,0.111
142.jpg,33.81,0.287
143.jpg,35.545,0.355
144.jpg,29.482,0.116
145.jpg,32.857,0.249
146.jpg,35.203,0.341
147.jpg,34.975,0.332
148.jpg,46.24,0.775
149.jpg,42.761,0.638
150.jpg,43.574,0.67
151.jpg,42.643,0.634
152.jpg,33.865,0.289
153.jpg,43.624,0.672
154.jpg,37.053,0.414
155.jpg,34.424,0.311
156.jpg,34.176,0.301
157.jpg,42.994,0.647
158.jpg,38.574,0.474
159.jpg,46.526,0.786
160.jpg,44.598,0.71
161.jpg,38.249,0.461
162.jpg,42.343,0.622
163.jpg,44.909,0.723
164.jpg,44.367,0.701
165.jpg,43.861,0.681
166.jpg,39.945,0.528
167.jpg,34.451,0.312
168.jpg,41.163,0.575
169.jpg,45.253,0.736
170.jpg,42.51,0.628
171.jpg,47.717,0.833
172.jpg,47.822,0.837
173.jpg,44.072,0.69
174.jpg,45.834,0.759
175.jpg,45.89,0.761
176.jpg,33.808,0.286
177.jpg,47.402,0.821
178.jpg,43.725,0.676
179.jpg,36.901,0.408
180.jpg,36.335,0.386
181.jpg,35.096,0.337
182.jpg,34.877,0.328
183.jpg,36.815,0.405
184.jpg,44.333,0.7
185.jpg,43.103,0.652
186.jpg,43.618,0.672
187.jpg,46.961,0.803
188.jpg,44.501,0.707
189.jpg,47.286,0.816
190.jpg,42.841,0.641
191.jpg,45.965,0.764
192.jpg,41.396,0.585
193.jpg,37.642,0.437
194.jpg,38.327,0.464
195.jpg,42.397,0.624
196.jpg,42.024,0.609
197.jpg,42.382,0.623
198.jpg,45.35,0.74
199.jpg,43.222,0.656
200.jpg,44.083,0.69
201.jpg,46.364,0.78
202.jpg,38.269,0.462
203.jpg,43.311,0.66
204.jpg,41.651,0.595
205.jpg,39.968,0.528
206.jpg,34.841,0.327
207.jpg,43.823,0.68
208.jpg,32.598,0.239
209.jpg,34.626,0.319
210.jpg,44.727,0.715
211.jpg,41.254,0.579
212.jpg,42.265,0.619
213.jpg,45.774,0.757
214.jpg,36.698,0.4
215.jpg,46.064,0.768
216.jpg,46.321,0.778
217.jpg,50.667,0.949
218.jpg,51.97,1.0
219.jpg,31.217,0.185
220.jpg,40.943,0.567
221.jpg,37.647,0.437
222.jpg,42.947,0.646
223.jpg,48.135,0.849
224.jpg,41.454,0.587
225.jpg,46.947,0.803
226.jpg,45.225,0.735
227.jpg,43.07,0.65
228.jpg,43.476,0.666
229.jpg,46.022,0.766
230.jpg,36.272,0.383
231.jpg,45.709,0.754
232.jpg,38.975,0.489
233.jpg,42.416,0.625
234.jpg,42.974,0.647
235.jpg,34.018,0.295
236.jpg,32.667,0.242
237.jpg,39.766,0.521
238.jpg,38.301,0.463
239.jpg,40.638,0.555
240.jpg,38.447,0.469
