,WPSNR,NWPSNR
0088.jpg,48.511,0.911
0089.jpg,48.491,0.91
0090.jpg,48.837,0.929
0091.jpg,48.815,0.928
0092.jpg,48.837,0.929
0093.jpg,48.47,0.909
0094.jpg,48.826,0.928
0095.jpg,48.909,0.933
0096.jpg,48.284,0.898
0097.jpg,49.15,0.946
0098.jpg,48.878,0.931
0099.jpg,49.145,0.946
0100.jpg,49.087,0.943
0101.jpg,49.138,0.946
0102.jpg,48.811,0.928
0103.jpg,49.095,0.943
0104.jpg,48.718,0.922
0105.jpg,49.223,0.95
0106.jpg,49.0,0.938
0107.jpg,48.578,0.915
0108.jpg,48.297,0.899
0109.jpg,48.788,0.926
0110.jpg,49.153,0.947
0111.jpg,49.055,0.941
0112.jpg,49.0,0.938
0113.jpg,49.064,0.942
0114.jpg,48.014,0.883
0115.jpg,48.69,0.921
0116.jpg,48.997,0.938
0117.jpg,48.943,0.935
0118.jpg,48.703,0.922
0119.jpg,48.743,0.924
0120.jpg,47.852,0.874
0121.jpg,48.539,0.912
0122.jpg,48.553,0.913
0123.jpg,48.698,0.921
0124.jpg,48.959,0.936
0125.jpg,48.769,0.925
0126.jpg,48.755,0.924
0127.jpg,48.276,0.898
0128.jpg,48.286,0.898
0129.jpg,48.442,0.907
0130.jpg,48.58,0.915
0131.jpg,48.859,0.93
0132.jpg,48.306,0.9
0133.jpg,48.901,0.933
0134.jpg,48.87,0.931
0135.jpg,48.63,0.918
0136.jpg,48.811,0.928
0137.jpg,49.146,0.946
0138.jpg,49.116,0.944
0139.jpg,49.198,0.949
0140.jpg,49.095,0.943
0141.jpg,48.975,0.937
0142.jpg,48.789,0.926
0143.jpg,49.072,0.942
0144.jpg,48.135,0.89
0145.jpg,48.946,0.935
0146.jpg,48.947,0.935
0147.jpg,49.078,0.942
0148.jpg,49.026,0.939
0149.jpg,48.76,0.925
0150.jpg,48.551,0.913
0151.jpg,48.667,0.92
0152.jpg,49.03,0.94
0153.jpg,48.875,0.931
0154.jpg,48.82,0.928
0155.jpg,48.998,0.938
0156.jpg,48.465,0.908
0157.jpg,48.911,0.933
0158.jpg,49.003,0.938
0159.jpg,49.096,0.943
0160.jpg,49.018,0.939
0161.jpg,49.237,0.951
0162.jpg,49.467,0.964
0163.jpg,49.386,0.959
0164.jpg,49.355,0.958
0165.jpg,49.27,0.953
0166.jpg,49.124,0.945
0167.jpg,48.944,0.935
0168.jpg,48.602,0.916
0169.jpg,48.975,0.937
0170.jpg,48.914,0.933
0171.jpg,48.918,0.933
0172.jpg,49.156,0.947
0173.jpg,48.94,0.935
0174.jpg,48.907,0.933
0175.jpg,49.036,0.94
0176.jpg,49.14,0.946
0177.jpg,48.957,0.936
0178.jpg,48.877,0.931
0179.jpg,49.191,0.949
0180.jpg,48.381,0.904
0181.jpg,48.739,0.924
0182.jpg,48.621,0.917
0183.jpg,48.939,0.935
0184.jpg,48.64,0.918
0185.jpg,48.617,0.917
0186.jpg,48.89,0.932
0187.jpg,49.127,0.945
0188.jpg,48.596,0.916
0189.jpg,49.229,0.951
0190.jpg,48.997,0.938
0191.jpg,49.146,0.946
0192.jpg,48.588,0.915
0193.jpg,49.223,0.95
0194.jpg,48.719,0.922
0195.jpg,48.975,0.937
0196.jpg,48.848,0.93
0197.jpg,48.433,0.907
0198.jpg,48.562,0.914
0199.jpg,48.483,0.909
0200.jpg,48.345,0.902
0201.jpg,47.827,0.873
0202.jpg,48.501,0.91
0203.jpg,48.523,0.912
0204.jpg,47.596,0.86
0205.jpg,48.101,0.888
0206.jpg,48.116,0.889
0207.jpg,47.868,0.875
0208.jpg,48.296,0.899
0209.jpg,48.407,0.905
0210.jpg,48.603,0.916
0211.jpg,48.063,0.886
0212.jpg,48.381,0.904
0213.jpg,48.452,0.908
0214.jpg,48.169,0.892
0215.jpg,48.692,0.921
0216.jpg,48.116,0.889
0217.jpg,48.513,0.911
0218.jpg,48.791,0.926
0219.jpg,48.542,0.913
0220.jpg,48.374,0.903
0221.jpg,47.781,0.87
0222.jpg,46.54,0.802
0223.jpg,47.798,0.871
0224.jpg,45.85,0.763
0225.jpg,47.364,0.847
0226.jpg,48.173,0.892
0227.jpg,47.693,0.866
0228.jpg,47.481,0.854
0229.jpg,46.964,0.825
0230.jpg,48.007,0.883
0231.jpg,47.893,0.877
0232.jpg,47.199,0.838
0233.jpg,48.426,0.906
0234.jpg,48.224,0.895
0235.jpg,48.103,0.888
0236.jpg,48.896,0.932
0237.jpg,49.105,0.944
0238.jpg,48.479,0.909
0239.jpg,48.767,0.925
0240.jpg,48.227,0.895
0241.jpg,47.605,0.861
0242.jpg,48.671,0.92
0243.jpg,48.484,0.909
0244.jpg,48.601,0.916
0245.jpg,48.914,0.933
0246.jpg,48.739,0.924
0247.jpg,47.99,0.882
0248.jpg,48.514,0.911
0249.jpg,48.158,0.891
0250.jpg,48.295,0.899
0251.jpg,48.71,0.922
0252.jpg,47.878,0.876
0253.jpg,48.274,0.898
0254.jpg,48.025,0.884
0255.jpg,47.868,0.875
0256.jpg,47.953,0.88
0257.jpg,47.639,0.863
0258.jpg,47.591,0.86
0259.jpg,47.616,0.861
0260.jpg,47.986,0.882
0261.jpg,48.236,0.896
0262.jpg,48.432,0.907
0263.jpg,47.711,0.867
0264.jpg,47.575,0.859
0265.jpg,47.605,0.861
0266.jpg,47.104,0.833
0267.jpg,48.137,0.89
0268.jpg,48.802,0.927
0269.jpg,49.121,0.945
0270.jpg,49.289,0.954
0271.jpg,47.741,0.868
0272.jpg,45.571,0.748
0273.jpg,45.82,0.762
0274.jpg,44.038,0.663
0275.jpg,44.172,0.67
0276.jpg,43.503,0.633
0277.jpg,44.759,0.703
0278.jpg,44.365,0.681
0279.jpg,42.518,0.579
0280.jpg,42.515,0.579
0281.jpg,42.103,0.556
0282.jpg,40.896,0.489
0283.jpg,42.431,0.574
0284.jpg,41.59,0.527
0285.jpg,42.619,0.584
0286.jpg,44.586,0.693
0287.jpg,40.361,0.459
0288.jpg,38.938,0.38
0289.jpg,40.645,0.475
0290.jpg,40.316,0.457
0291.jpg,42.767,0.592
0292.jpg,41.522,0.523
0293.jpg,40.48,0.466
0294.jpg,42.734,0.591
0295.jpg,41.843,0.541
0296.jpg,42.635,0.585
0297.jpg,40.77,0.482
0298.jpg,42.074,0.554
0299.jpg,39.642,0.419
0300.jpg,42.863,0.598
0301.jpg,39.613,0.418
0302.jpg,39.621,0.418
0303.jpg,42.529,0.579
0304.jpg,42.584,0.582
0305.jpg,42.098,0.555
0306.jpg,41.849,0.542
0307.jpg,41.985,0.549
0308.jpg,41.726,0.535
0309.jpg,41.305,0.511
0310.jpg,44.204,0.672
0311.jpg,42.223,0.562
0312.jpg,39.184,0.394
0313.jpg,39.069,0.387
0314.jpg,38.878,0.377
0315.jpg,38.518,0.357
0316.jpg,41.003,0.495
0317.jpg,41.495,0.522
0318.jpg,42.79,0.594
0319.jpg,43.299,0.622
0320.jpg,44.883,0.71
0321.jpg,46.842,0.818
0322.jpg,46.445,0.796
0323.jpg,46.779,0.815
0324.jpg,46.316,0.789
0325.jpg,46.356,0.791
0326.jpg,46.107,0.778
0327.jpg,46.359,0.792
0328.jpg,47.089,0.832
0329.jpg,46.262,0.786
0330.jpg,46.582,0.804
0331.jpg,46.481,0.798
0332.jpg,46.942,0.824
0333.jpg,47.422,0.851
0334.jpg,47.082,0.832
0335.jpg,45.524,0.745
0336.jpg,43.677,0.643
0337.jpg,45.147,0.724
0338.jpg,45.845,0.763
0339.jpg,46.85,0.819
0340.jpg,45.978,0.77
0341.jpg,46.374,0.792
0342.jpg,45.734,0.757
0343.jpg,46.485,0.799
0344.jpg,46.488,0.799
0345.jpg,46.313,0.789
0346.jpg,46.038,0.774
0347.jpg,46.213,0.784
0348.jpg,45.382,0.737
0349.jpg,46.301,0.788
0350.jpg,45.932,0.768
0351.jpg,45.34,0.735
0352.jpg,46.27,0.787
0353.jpg,46.274,0.787
0354.jpg,46.625,0.806
0355.jpg,46.895,0.821
0356.jpg,46.939,0.824
0357.jpg,47.07,0.831
0358.jpg,47.341,0.846
0359.jpg,46.357,0.792
0360.jpg,45.468,0.742
0361.jpg,46.548,0.802
0362.jpg,46.463,0.797
0363.jpg,46.004,0.772
0364.jpg,46.356,0.791
0365.jpg,47.02,0.828
0366.jpg,46.516,0.8
0367.jpg,46.803,0.816
0368.jpg,46.548,0.802
0369.jpg,46.311,0.789
0370.jpg,46.669,0.809
0371.jpg,46.803,0.816
0372.jpg,46.298,0.788
0373.jpg,46.283,0.787
0374.jpg,46.74,0.813
0375.jpg,46.164,0.781
0376.jpg,47.16,0.836
0377.jpg,46.651,0.808
0378.jpg,46.921,0.823
0379.jpg,47.595,0.86
0380.jpg,47.032,0.829
0381.jpg,47.083,0.832
0382.jpg,47.532,0.857
0383.jpg,47.211,0.839
0384.jpg,45.322,0.734
0385.jpg,47.264,0.842
0386.jpg,45.972,0.77
0387.jpg,47.44,0.852
0388.jpg,45.327,0.734
0389.jpg,46.593,0.805
0390.jpg,47.057,0.83
0391.jpg,47.066,0.831
0392.jpg,47.089,0.832
0393.jpg,47.828,0.873
0394.jpg,47.021,0.828
0395.jpg,47.246,0.841
0396.jpg,46.447,0.796
0397.jpg,46.757,0.814
0398.jpg,45.358,0.736
0399.jpg,44.89,0.71
0400.jpg,46.029,0.773
0401.jpg,47.627,0.862
0402.jpg,47.276,0.842
0403.jpg,47.015,0.828
0404.jpg,46.445,0.796
0405.jpg,46.937,0.824
0406.jpg,47.099,0.833
0407.jpg,47.289,0.843
0408.jpg,47.01,0.828
0409.jpg,47.655,0.863
0410.jpg,47.574,0.859
0411.jpg,47.146,0.835
0412.jpg,46.465,0.797
0413.jpg,46.099,0.777
0414.jpg,45.814,0.761
0415.jpg,45.223,0.729
0416.jpg,44.491,0.688
0417.jpg,45.7,0.755
0418.jpg,46.048,0.774
0419.jpg,45.276,0.732
0420.jpg,43.536,0.635
0421.jpg,44.511,0.689
0422.jpg,46.809,0.817
0423.jpg,44.486,0.688
0424.jpg,44.468,0.687
0425.jpg,45.511,0.745
0426.jpg,44.911,0.711
0427.jpg,46.692,0.81
0428.jpg,46.273,0.787
0429.jpg,46.751,0.813
0430.jpg,47.49,0.854
0431.jpg,47.06,0.83
0432.jpg,46.508,0.8
0433.jpg,46.964,0.825
0434.jpg,46.549,0.802
0435.jpg,47.032,0.829
0436.jpg,47.589,0.86
0437.jpg,46.654,0.808
0438.jpg,47.421,0.85
0439.jpg,47.501,0.855
0440.jpg,47.036,0.829
0441.jpg,47.086,0.832
0442.jpg,47.252,0.841
0443.jpg,47.56,0.858
0444.jpg,46.68,0.809
0445.jpg,46.91,0.822
0446.jpg,47.246,0.841
0447.jpg,46.728,0.812
0448.jpg,47.164,0.836
0449.jpg,46.724,0.812
0450.jpg,46.772,0.815
0451.jpg,47.148,0.835
0452.jpg,47.116,0.834
0453.jpg,46.874,0.82
0454.jpg,46.057,0.775
0455.jpg,45.646,0.752
0456.jpg,45.653,0.752
0457.jpg,46.244,0.785
0458.jpg,47.018,0.828
0459.jpg,46.943,0.824
0460.jpg,47.618,0.861
0461.jpg,47.422,0.851
0462.jpg,46.586,0.804
0463.jpg,47.041,0.829
0464.jpg,47.003,0.827
0465.jpg,46.891,0.821
0466.jpg,46.573,0.803
0467.jpg,45.69,0.755
0468.jpg,46.817,0.817
0469.jpg,48.126,0.89
0470.jpg,47.991,0.882
0471.jpg,48.057,0.886
0472.jpg,48.495,0.91
0473.jpg,48.703,0.922
0474.jpg,48.277,0.898
0475.jpg,48.572,0.914
0476.jpg,48.186,0.893
0477.jpg,48.426,0.906
0478.jpg,48.808,0.927
0479.jpg,49.261,0.952
0480.jpg,48.649,0.919
0481.jpg,49.145,0.946
0482.jpg,49.038,0.94
0483.jpg,48.821,0.928
0484.jpg,48.773,0.925
0485.jpg,48.903,0.933
0486.jpg,48.845,0.929
0487.jpg,48.629,0.917
0488.jpg,48.334,0.901
0489.jpg,48.542,0.913
0490.jpg,48.869,0.931
0491.jpg,49.327,0.956
0492.jpg,48.507,0.911
0493.jpg,49.154,0.947
0494.jpg,49.17,0.947
0495.jpg,49.083,0.943
0496.jpg,49.146,0.946
0497.jpg,49.052,0.941
0498.jpg,49.221,0.95
0499.jpg,48.616,0.917
0500.jpg,49.138,0.946
0501.jpg,48.925,0.934
0502.jpg,48.927,0.934
0503.jpg,49.103,0.944
0504.jpg,48.355,0.902
0505.jpg,49.044,0.94
0506.jpg,49.265,0.953
0507.jpg,48.97,0.936
0508.jpg,48.969,0.936
0509.jpg,48.568,0.914
0510.jpg,48.476,0.909
0511.jpg,48.533,0.912
0512.jpg,48.544,0.913
0513.jpg,48.922,0.934
0514.jpg,48.585,0.915
0515.jpg,48.743,0.924
0516.jpg,48.171,0.892
0517.jpg,48.786,0.926
0518.jpg,48.795,0.927
0519.jpg,48.686,0.921
0520.jpg,48.606,0.916
0521.jpg,48.617,0.917
0522.jpg,48.622,0.917
0523.jpg,48.951,0.935
0524.jpg,48.822,0.928
0525.jpg,48.924,0.934
0526.jpg,48.627,0.917
0527.jpg,48.707,0.922
0528.jpg,48.135,0.89
0529.jpg,48.589,0.915
0530.jpg,48.657,0.919
0531.jpg,48.801,0.927
0532.jpg,48.756,0.924
0533.jpg,48.881,0.931
0534.jpg,49.119,0.945
0535.jpg,49.15,0.946
0536.jpg,48.793,0.927
0537.jpg,48.588,0.915
0538.jpg,47.957,0.88
0539.jpg,48.285,0.898
0540.jpg,47.927,0.879
0541.jpg,48.357,0.902
0542.jpg,48.431,0.906
0543.jpg,48.519,0.911
0544.jpg,48.516,0.911
0545.jpg,48.477,0.909
0546.jpg,48.082,0.887
0547.jpg,47.843,0.874
0548.jpg,48.227,0.895
0549.jpg,48.371,0.903
0550.jpg,48.493,0.91
0551.jpg,48.188,0.893
0552.jpg,47.037,0.829
0553.jpg,47.717,0.867
0554.jpg,47.843,0.874
0555.jpg,47.786,0.871
0556.jpg,47.687,0.865
0557.jpg,47.632,0.862
0558.jpg,47.54,0.857
0559.jpg,47.739,0.868
0560.jpg,48.17,0.892
0561.jpg,48.227,0.895
0562.jpg,47.968,0.881
0563.jpg,47.584,0.86
0564.jpg,46.84,0.818
0565.jpg,47.552,0.858
0566.jpg,47.528,0.856
0567.jpg,47.462,0.853
0568.jpg,46.6,0.805
0569.jpg,47.569,0.859
0570.jpg,47.968,0.881
0571.jpg,48.018,0.884
0572.jpg,48.723,0.923
0573.jpg,48.417,0.906
0574.jpg,48.492,0.91
0575.jpg,48.446,0.907
0576.jpg,48.195,0.893
0577.jpg,48.639,0.918
0578.jpg,48.382,0.904
0579.jpg,46.349,0.791
0580.jpg,47.461,0.853
0581.jpg,47.419,0.85
0582.jpg,47.561,0.858
0583.jpg,46.996,0.827
0584.jpg,47.847,0.874
0585.jpg,47.122,0.834
0586.jpg,47.602,0.861
0587.jpg,47.613,0.861
0588.jpg,46.426,0.795
0589.jpg,46.539,0.802
0590.jpg,47.181,0.837
0591.jpg,45.851,0.763
0592.jpg,45.409,0.739
0593.jpg,46.128,0.779
0594.jpg,45.583,0.749
0595.jpg,46.072,0.776
0596.jpg,45.379,0.737
0597.jpg,44.807,0.706
0598.jpg,43.646,0.641
0599.jpg,43.03,0.607
0600.jpg,42.72,0.59
0601.jpg,43.932,0.657
0602.jpg,42.96,0.603
0603.jpg,44.035,0.663
0604.jpg,40.258,0.453
0605.jpg,43.767,0.648
0606.jpg,41.269,0.509
0607.jpg,44.97,0.715
0608.jpg,45.835,0.763
0609.jpg,45.689,0.754
0610.jpg,46.163,0.781
0611.jpg,45.996,0.771
0612.jpg,44.279,0.676
0613.jpg,44.65,0.697
0614.jpg,45.449,0.741
0615.jpg,45.716,0.756
0616.jpg,46.562,0.803
0617.jpg,46.446,0.796
0618.jpg,43.762,0.648
0619.jpg,42.275,0.565
0620.jpg,42.251,0.564
0621.jpg,43.514,0.634
0622.jpg,43.055,0.608
0623.jpg,45.464,0.742
0624.jpg,44.789,0.705
0625.jpg,45.696,0.755
0626.jpg,44.415,0.684
0627.jpg,42.344,0.569
0628.jpg,42.389,0.572
0629.jpg,41.833,0.541
0630.jpg,42.766,0.592
0631.jpg,40.923,0.49
0632.jpg,41.456,0.52
0633.jpg,41.967,0.548
0634.jpg,43.091,0.61
0635.jpg,44.813,0.706
0636.jpg,45.55,0.747
0637.jpg,44.586,0.693
0638.jpg,44.237,0.674
0639.jpg,44.545,0.691
0640.jpg,44.95,0.714
0641.jpg,44.862,0.709
0642.jpg,44.327,0.679
0643.jpg,46.164,0.781
0644.jpg,44.327,0.679
0645.jpg,48.372,0.903
0646.jpg,48.35,0.902
0647.jpg,48.511,0.911
0648.jpg,48.044,0.885
0649.jpg,48.269,0.897
0650.jpg,48.329,0.901
0651.jpg,48.573,0.914
0652.jpg,48.725,0.923
0653.jpg,48.901,0.933
0654.jpg,48.874,0.931
0655.jpg,48.806,0.927
0656.jpg,48.9,0.932
0657.jpg,48.705,0.922
0658.jpg,48.39,0.904
0659.jpg,48.693,0.921
0660.jpg,48.367,0.903
0661.jpg,48.815,0.928
0662.jpg,49.076,0.942
0663.jpg,49.083,0.943
0664.jpg,48.943,0.935
0665.jpg,49.112,0.944
0666.jpg,49.041,0.94
0667.jpg,49.169,0.947
0668.jpg,49.295,0.954
0669.jpg,49.231,0.951
0670.jpg,49.296,0.954
0671.jpg,49.321,0.956
0672.jpg,48.548,0.913
0673.jpg,49.518,0.967
0674.jpg,49.404,0.96
0675.jpg,49.429,0.962
0676.jpg,49.325,0.956
0677.jpg,49.364,0.958
0678.jpg,49.399,0.96
0679.jpg,49.437,0.962
0680.jpg,49.335,0.957
0681.jpg,49.331,0.956
0682.jpg,49.255,0.952
0683.jpg,49.071,0.942
0684.jpg,48.681,0.92
0685.jpg,49.213,0.95
0686.jpg,49.178,0.948
0687.jpg,49.31,0.955
0688.jpg,49.419,0.961
0689.jpg,49.36,0.958
0690.jpg,49.191,0.949
0691.jpg,49.449,0.963
0692.jpg,49.285,0.954
0693.jpg,49.16,0.947
0694.jpg,49.17,0.947
0695.jpg,49.455,0.963
0696.jpg,48.576,0.915
0697.jpg,49.277,0.953
0698.jpg,49.331,0.956
0699.jpg,49.166,0.947
0700.jpg,49.141,0.946
0701.jpg,49.488,0.965
0702.jpg,49.468,0.964
0703.jpg,49.772,0.981
0704.jpg,49.555,0.969
0705.jpg,49.505,0.966
0706.jpg,49.221,0.95
0707.jpg,49.073,0.942
0708.jpg,48.786,0.926
0709.jpg,49.46,0.964
0710.jpg,49.573,0.97
0711.jpg,49.69,0.976
0712.jpg,49.173,0.948
0713.jpg,49.352,0.958
0714.jpg,49.68,0.976
0715.jpg,49.361,0.958
0716.jpg,49.484,0.965
0717.jpg,49.623,0.973
0718.jpg,49.497,0.966
0719.jpg,49.577,0.97
0720.jpg,48.736,0.923
0721.jpg,48.576,0.915
0722.jpg,36.807,0.262
0723.jpg,34.574,0.138
0724.jpg,34.023,0.108
0725.jpg,34.44,0.131
0726.jpg,34.531,0.136
0727.jpg,34.39,0.128
0728.jpg,35.4,0.184
0729.jpg,36.405,0.24
0730.jpg,36.409,0.24
0731.jpg,36.605,0.251
0732.jpg,33.66,0.088
0733.jpg,32.079,0.0
0734.jpg,33.476,0.077
0735.jpg,32.618,0.03
0736.jpg,38.414,0.351
0737.jpg,36.12,0.224
0738.jpg,34.672,0.144
0739.jpg,36.112,0.224
0740.jpg,33.919,0.102
0741.jpg,36.889,0.267
0742.jpg,37.245,0.286
0743.jpg,35.557,0.193
0744.jpg,36.033,0.219
0745.jpg,40.377,0.46
0746.jpg,41.178,0.504
0747.jpg,39.933,0.435
0748.jpg,40.847,0.486
0749.jpg,39.837,0.43
0750.jpg,38.459,0.354
0751.jpg,40.624,0.474
0752.jpg,40.586,0.472
0753.jpg,40.967,0.493
0754.jpg,42.535,0.58
0755.jpg,43.801,0.65
0756.jpg,43.569,0.637
0757.jpg,43.306,0.622
0758.jpg,39.28,0.399
0759.jpg,40.413,0.462
0760.jpg,43.852,0.653
0761.jpg,43.347,0.625
0762.jpg,44.408,0.683
0763.jpg,46.277,0.787
0764.jpg,47.88,0.876
0765.jpg,48.942,0.935
0766.jpg,49.118,0.945
0767.jpg,49.664,0.975
0768.jpg,48.871,0.931
0769.jpg,49.353,0.958
0770.jpg,49.362,0.958
0771.jpg,49.485,0.965
0772.jpg,49.452,0.963
0773.jpg,49.465,0.964
0774.jpg,49.641,0.974
0775.jpg,49.821,0.984
0776.jpg,49.953,0.991
0777.jpg,49.916,0.989
0778.jpg,49.951,0.991
0779.jpg,50.03,0.995
0780.jpg,49.312,0.955
0781.jpg,49.961,0.991
0782.jpg,49.923,0.989
0783.jpg,50.118,1.0
0784.jpg,49.821,0.984
0785.jpg,49.803,0.983
0786.jpg,49.836,0.984
0787.jpg,49.732,0.979
0788.jpg,49.865,0.986
0789.jpg,49.838,0.984
0790.jpg,49.758,0.98
0791.jpg,49.602,0.971
0792.jpg,48.853,0.93
0793.jpg,49.538,0.968
0794.jpg,49.247,0.952
0795.jpg,49.496,0.966
0796.jpg,49.459,0.963
0797.jpg,49.307,0.955
0798.jpg,49.504,0.966
0799.jpg,49.67,0.975
0800.jpg,49.633,0.973
0801.jpg,49.652,0.974
0802.jpg,49.678,0.976
0803.jpg,49.566,0.969
0804.jpg,48.72,0.923
0805.jpg,49.338,0.957
0806.jpg,49.364,0.958
0807.jpg,49.497,0.966
0808.jpg,49.262,0.953
0809.jpg,49.284,0.954
0810.jpg,49.406,0.961
0811.jpg,49.215,0.95
0812.jpg,49.259,0.952
0813.jpg,49.19,0.949
0814.jpg,49.376,0.959
0815.jpg,48.927,0.934
0816.jpg,48.3,0.899
0817.jpg,49.077,0.942
0818.jpg,49.37,0.959
0819.jpg,49.535,0.968
0820.jpg,49.242,0.951
0821.jpg,49.243,0.951
0822.jpg,49.325,0.956
0823.jpg,49.336,0.957
0824.jpg,49.101,0.944
0825.jpg,49.018,0.939
0826.jpg,49.071,0.942
0827.jpg,49.152,0.946
0828.jpg,47.975,0.881
0829.jpg,48.829,0.929
0830.jpg,48.811,0.928
0831.jpg,48.869,0.931
0832.jpg,49.336,0.957
0833.jpg,49.619,0.972
0834.jpg,49.524,0.967
0835.jpg,49.269,0.953
0836.jpg,49.276,0.953
0837.jpg,49.175,0.948
0838.jpg,49.633,0.973
0839.jpg,49.541,0.968
0840.jpg,48.829,0.929
0841.jpg,49.17,0.947
0842.jpg,49.161,0.947
0843.jpg,49.526,0.967
0844.jpg,49.373,0.959
0845.jpg,49.62,0.972
0846.jpg,49.521,0.967
0847.jpg,49.71,0.977
0848.jpg,49.898,0.988
0849.jpg,49.776,0.981
0850.jpg,49.987,0.993
0851.jpg,49.931,0.99
0852.jpg,49.245,0.952
0853.jpg,49.83,0.984
0854.jpg,49.829,0.984
0855.jpg,49.856,0.985
0856.jpg,49.825,0.984
0857.jpg,49.72,0.978
0858.jpg,49.903,0.988
0859.jpg,49.974,0.992
0860.jpg,49.736,0.979
0861.jpg,49.697,0.977
0862.jpg,49.516,0.967
0863.jpg,49.802,0.982
0864.jpg,48.942,0.935
0865.jpg,49.679,0.976
0866.jpg,49.55,0.969
0867.jpg,49.514,0.967
0868.jpg,49.6,0.971
0869.jpg,49.591,0.971
0870.jpg,49.413,0.961
0871.jpg,49.484,0.965
0872.jpg,49.559,0.969
0873.jpg,49.761,0.98
0874.jpg,49.797,0.982
0875.jpg,49.792,0.982
0876.jpg,48.997,0.938
0877.jpg,49.359,0.958
0878.jpg,49.355,0.958
0879.jpg,49.654,0.974
0880.jpg,49.547,0.968
0881.jpg,49.079,0.942
0882.jpg,49.176,0.948
0883.jpg,49.053,0.941
0884.jpg,49.291,0.954
0885.jpg,49.393,0.96
0886.jpg,49.129,0.945
0887.jpg,49.448,0.963
0888.jpg,48.966,0.936
0889.jpg,49.281,0.954
0890.jpg,49.264,0.953
0891.jpg,48.996,0.938
0892.jpg,49.328,0.956
0893.jpg,49.559,0.969
0894.jpg,49.365,0.958
0895.jpg,49.268,0.953
0896.jpg,49.378,0.959
0897.jpg,49.445,0.963
0898.jpg,49.025,0.939
0899.jpg,48.734,0.923
0900.jpg,48.022,0.884
0901.jpg,48.858,0.93
0902.jpg,48.94,0.935
0903.jpg,49.203,0.949
0904.jpg,49.068,0.942
0905.jpg,49.318,0.956
0906.jpg,49.305,0.955
0907.jpg,48.896,0.932
0908.jpg,48.903,0.933
0909.jpg,48.795,0.927
0910.jpg,49.095,0.943
0911.jpg,49.399,0.96
0912.jpg,48.893,0.932
0913.jpg,49.393,0.96
0914.jpg,49.451,0.963
0915.jpg,49.567,0.969
0916.jpg,49.614,0.972
0917.jpg,49.68,0.976
0918.jpg,49.51,0.966
0919.jpg,49.78,0.981
0920.jpg,49.781,0.981
0921.jpg,49.687,0.976
0922.jpg,49.676,0.975
0923.jpg,49.313,0.955
0924.jpg,48.381,0.904
0925.jpg,49.124,0.945
0926.jpg,49.326,0.956
0927.jpg,49.225,0.95
0928.jpg,48.806,0.927
0929.jpg,48.867,0.931
0930.jpg,48.561,0.914
0931.jpg,48.729,0.923
0932.jpg,48.697,0.921
0933.jpg,48.731,0.923
0934.jpg,48.732,0.923
